"Title","InternalName","TypeAsString","Required"
"App Created By","AppAuthor","Lookup","False"
"App Modified By","AppEditor","Lookup","False"
"Appendix","Appendix_x003a_","MultiChoice","False"
"Approval Status","_ModerationStatus","ModStat","True"
"Assigned Date","AssignedDate","DateTime","False"
"Category (CCC Tag)","Category_x0028_CCCTag_x0029_","MultiChoice","False"
"Check In Comment","_CheckinComment","Lookup","False"
"Checked Out To","CheckoutUser","User","False"
"Color Tag","_ColorTag","Text","False"
"Comment count","_CommentCount","Lookup","False"
"Compliance Asset Id","ComplianceAssetId","Text","False"
"Content Type","ContentType","Computed","False"
"Copy Source","_CopySource","Text","False"
"Created","Created","DateTime","False"
"Created By","Author","User","False"
"Department / Division","Department_x002f_Division","Choice","False"
"Description","Description","Note","False"
"Document Type","DocumentType","Choice","True"
"Edit","Edit","Computed","False"
"File Link","FileLink","URL","False"
"File Size","FileSizeDisplay","Computed","False"
"Folder Child Count","FolderChildCount","Lookup","False"
"ID","ID","Counter","False"
"Item Child Count","ItemChildCount","Lookup","False"
"Item is a Record","_IsRecord","Computed","False"
"Label applied by","_ComplianceTagUserId","Lookup","False"
"Label setting","_ComplianceFlags","Lookup","False"
"Last Reviewed Date","LastReviewedDate","DateTime","False"
"Like count","_LikeCount","Lookup","False"
"Modified","Modified","DateTime","False"
"Modified By","Editor","User","False"
"Name","LinkFilenameNoMenu","Computed","False"
"Name","LinkFilename","Computed","False"
"Name","FileLeafRef","File","True"
"Related SOPs","RelatedSOPs","LookupMulti","False"
"Retention label","_ComplianceTag","Lookup","False"
"Retention label Applied","_ComplianceTagWrittenTime","Lookup","False"
"Roles (RACI)","Roles_x0028_RACI_x0029_","MultiChoice","False"
"Sensitivity","_DisplayName","Lookup","False"
"SOP File Name","SOPFileName","Text","False"
"SOP ID","SOPID","Text","False"
"Source Name (Converted Document)","ParentLeafName","Lookup","False"
"Source Version (Converted Document)","ParentVersionString","Lookup","False"
"Status","Status","Choice","True"
"Tags / Keywords","Tags_x002f_Keywords","Note","False"
"Title","Title","Text","False"
"Type","DocIcon","Computed","False"
"Version","_UIVersionString","Text","False"
